id_colonia,cve_alcaldia,nom_alcaldia,nom_colonia,centroide_lat,centroide_lon,pob_colonia,pob_menores_estim,pobreza_pct_promedio,pct_aguadv,pct_drenaje,pct_excede_nom_local,antiguedad_red_proxy,antiguedad_red_anos_estim,n_fugas_total,fugas_por_10k_hab_total,lag_promedio_dias,dist_planta_km,planta_cercana_id,tasa_morbilidad_estimada_por_100k,casos_morbilidad_estimados,factor_riesgo_morbilidad,IVH,estres_score,riesgo_infantil,score_priorizacion,rank,d_urgencia,d_magnitud,d_remediabilidad,d_equidad,d_retorno,causa_raiz,intervencion,flag_top_100,flag_top_200,flag_critico_ivh,flag_estres_alto,flag_red_40plus,flag_pob_infantil_alta
09-002,009,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.212882,-98.993008,32538,7737.0,53.44,89.37,98.28,77.8,0.5,30.0,469,144.14,2.24,8.45,PLANTA_033,22351.34,7272.7,4.468497697639211,0.8552,0.18621600029074875,0.9685146314359797,0.8587,1,1.0,1.0,0.2933720959906824,1.0,1.0,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
09-012,009,MILPA ALTA,VILLA MILPA ALTA (PBLO),19.193811,-99.024006,22891,5443.0,53.44,89.37,98.28,77.8,0.5,30.0,365,159.45,0.21,10.57,PLANTA_033,22351.34,5116.4,4.468497697639211,0.8576,0.1853679509471458,0.6831764801908848,0.6476,2,0.7034329955881695,0.7053578010561649,0.2736470572815915,1.0,0.7034204817971081,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-043,013,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),19.260363,-99.054528,31758,6395.0,46.88,91.49,99.18,55.6,0.6507,38.0,703,221.36,1.15,5.66,PLANTA_044,15953.95,5066.7,3.1895273921257523,0.7584,0.2751183816336522,0.7016004882656044,0.6159,3,0.5898403210669869,0.8654910703795106,0.236264556484604,0.8533750558784088,0.605318847508213,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
09-008,009,MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),19.183104,-99.072462,20355,4840.0,53.44,89.37,98.28,71.4,0.5,30.0,143,70.25,0.27,9.13,PLANTA_044,22351.34,4549.6,4.468497697639211,0.8337,0.13981545508668294,0.5889433429486047,0.5911,4,0.625477501403194,0.6096736567789721,0.28614581525591165,1.0,0.6254622798227081,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-060,013,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.246325,-99.074836,25353,5105.0,46.88,91.49,99.18,71.4,0.6507,38.0,1053,415.34,3.0,3.75,PLANTA_044,15953.95,4044.8,3.1895273921257523,0.7867,0.36408737513719414,0.5829634150607449,0.5371,5,0.4708028233842814,0.7166428942197756,0.29768496478415796,0.8533750558784088,0.4831731262028612,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
09-010,009,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.191847,-99.094738,16837,4003.0,53.44,89.37,98.28,71.4,0.5,30.0,188,111.66,0.44,7.48,PLANTA_044,22351.34,3763.3,4.468497697639211,0.8446,0.17412731459373004,0.49390487414238443,0.5216,6,0.5172706214150937,0.51082293369976,0.3056858718522132,1.0,0.5173138426094567,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-067,013,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),19.256014,-99.014298,22570,4545.0,46.88,91.49,99.18,77.8,0.6507,38.0,1132,501.55,0.79,3.58,PLANTA_033,15953.95,3600.8,3.1895273921257523,0.7958,0.38684590279881365,0.5255228513510124,0.4975,7,0.41912763059178915,0.6453119237163245,0.30563441336285835,0.8533750558784088,0.43010266895697,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
09-009,009,MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),19.205584,-99.04859,14402,3424.0,53.44,89.37,98.28,71.4,0.5,30.0,125,86.79,11.06,8.55,PLANTA_044,22351.34,3219.0,4.468497697639211,0.8386,0.15420578624657857,0.41906577513362697,0.466,8,0.4424178334663362,0.4337749163435463,0.29224486741286865,1.0,0.44245031167320753,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-064,013,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.243133,-99.088269,18025,3630.0,46.88,91.49,99.18,71.4,0.6507,38.0,691,383.36,1.06,2.67,PLANTA_044,15953.95,2875.7,3.1895273921257523,0.7848,0.39231081813484747,0.41319556644352784,0.436,9,0.3346940566540562,0.5081440590579286,0.3607097322944697,0.8533750558784088,0.34343287492770036,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-066,013,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),19.244568,-99.128375,17248,3473.0,46.88,91.49,99.18,59.5,0.6507,38.0,808,468.46,3.2,2.57,PLANTA_044,15953.95,2751.7,3.1895273921257523,0.7798,0.4178823024817095,0.3925219075007583,0.4247,10,0.32020654724616104,0.48311961884163573,0.36847422149651293,0.8533750558784088,0.3286113958770461,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
